,IP Address,LoggedInFlag,VisitPageFlag,Group
0,0.0.108.2,0,0,Test
1,0.0.109.6,1,0,Test
2,0.0.111.8,0,0,Control
3,0.0.160.9,1,0,Control
4,0.0.163.1,0,0,Control
5,0.0.169.1,1,0,Test
6,0.0.178.9,1,0,Control
7,0.0.181.9,0,1,Test
8,0.0.185.4,1,0,Control
9,0.0.192.6,1,0,Control
10,0.0.195.5,1,0,Test
11,0.0.20.3,0,0,Test
12,0.0.203.6,1,0,Test
13,0.0.209.9,0,1,Control
14,0.0.213.8,0,0,Test
15,0.0.214.3,1,0,Test
16,0.0.220.4,0,1,Test
17,0.0.228.7,0,0,Control
18,0.0.230.5,0,0,Test
19,0.0.46.2,0,0,Control
20,0.0.5.2,1,0,Test
21,0.0.5.7,0,0,Test
22,0.0.54.9,1,0,Test
23,0.0.69.9,0,0,Control
24,0.0.9.8,0,0,Control
25,0.1.100.7,1,0,Test
26,0.1.107.4,1,0,Control
27,0.1.110.2,1,0,Control
28,0.1.117.4,0,0,Test
29,0.1.123.6,0,1,Test
30,0.1.168.4,1,0,Test
31,0.1.177.7,1,0,Control
32,0.1.181.6,1,0,Test
33,0.1.184.4,1,0,Control
34,0.1.192.9,0,1,Control
35,0.1.194.1,0,0,Control
36,0.1.194.2,0,0,Control
37,0.1.210.8,1,0,Control
38,0.1.211.7,1,0,Control
39,0.1.219.7,1,0,Control
40,0.1.242.7,1,0,Test
41,0.1.253.9,1,0,Control
42,0.1.32.7,1,0,Test
43,0.1.53.3,0,0,Control
44,0.1.69.3,1,0,Control
45,0.1.96.5,1,0,Test
46,0.1.96.9,1,0,Test
47,0.10.0.5,1,0,Test
48,0.10.104.6,0,0,Control
49,0.10.142.9,0,0,Control
50,0.10.164.2,0,1,Test
51,0.10.164.8,1,0,Control
52,0.10.175.9,1,0,Test
53,0.10.182.8,1,0,Control
54,0.10.195.2,1,0,Control
55,0.10.195.4,0,0,Control
56,0.10.198.2,0,0,Control
57,0.10.216.5,0,0,Test
58,0.10.226.6,1,0,Control
59,0.10.229.7,0,0,Control
60,0.10.23.1,0,0,Control
61,0.10.38.2,0,0,Control
62,0.10.40.9,1,0,Control
63,0.10.48.5,1,0,Control
64,0.10.49.9,0,0,Test
65,0.10.59.2,0,0,Test
66,0.10.59.4,0,0,Test
67,0.10.67.1,1,0,Control
68,0.10.88.5,1,0,Control
69,0.10.98.6,1,0,Control
70,0.11.112.2,1,0,Control
71,0.11.12.6,0,0,Test
72,0.11.126.6,1,0,Test
73,0.11.138.8,0,0,Control
74,0.11.149.4,0,1,Control
75,0.11.149.9,1,0,Control
76,0.11.166.9,0,0,Control
77,0.11.177.7,0,1,Control
78,0.11.193.6,1,0,Control
79,0.11.198.2,1,0,Control
80,0.11.198.6,1,0,Test
81,0.11.219.7,1,0,Test
82,0.11.23.4,0,0,Control
83,0.11.230.4,1,0,Test
84,0.11.241.2,1,0,Test
85,0.11.35.3,1,0,Control
86,0.11.43.7,1,0,Control
87,0.11.89.9,0,0,Control
88,0.12.100.5,0,0,Control
89,0.12.103.2,1,0,Control
90,0.12.111.7,1,0,Control
91,0.12.118.1,0,0,Control
92,0.12.143.2,1,0,Control
