CNAE;Ano;Quantidade total
Abate de aves;2009;1
Acabamento de calçados de couro sob contrato;2009;4
Administração de cartões de crédito;2009;2
Administração de consórcios para aquisição de bens e direitos;2009;3
Administração de obras;2009;6
Agenciamento de cargas, exceto para o transporte marítimo;2009;13
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;2009;8
Agenciamento de profissionais para atividades esportivas, culturais e artísticas;2009;2
Agências de notícias;2009;3
Agências de publicidade;2009;38
Agências de viagens;2009;87
Agente de propriedade industrial;2009;2
Agentes de investimentos em aplicações financeiras;2009;4
Aluguel de andaimes;2009;17
Aluguel de aparelhos de jogos eletrônicos;2009;1
Aluguel de equipamentos recreativos e esportivos;2009;5
Aluguel de fitas de vídeo, DVDs e similares;2009;47
Aluguel de imóveis próprios;2009;118
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;2009;51
Aluguel de máquinas e equipamentos para escritório;2009;17
Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal;2009;22
Aluguel de objetos do vestuário, jóias e acessórios;2009;16
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;2009;47
Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;2009;3
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;2009;13
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;2009;5
Aparelhamento de pedras para construção, exceto associado à extração;2009;1
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;2009;20
Aplicação de revestimentos e de resinas em interiores e exteriores;2009;17
Armazéns gerais - emissão de warrant;2009;13
Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;2009;25
Atividade médica ambulatorial com recursos para realização de exames complementares;2009;18
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;2009;22
Atividade médica ambulatorial restrita a consultas;2009;185
Atividade odontológica;2009;107
Atividades auxiliares da justiça;2009;3
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;2009;5
Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;2009;21
Atividades de agenciamento marítimo;2009;1
Atividades de apoio à agricultura não especificadas anteriormente;2009;2
Atividades de apoio à educação, exceto caixas escolares;2009;4
Atividades de apoio à gestão de saúde;2009;2
Atividades de apoio à pecuária não especificadas anteriormente;2009;1
Atividades de artistas plásticos, jornalistas independentes e escritores;2009;3
Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes;2009;1
Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente;2009;6
Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente;2009;1
Atividades de atenção ambulatorial não especificadas anteriormente;2009;6
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;2009;5
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2009;32
Atividades de centros de assistência psicossocial;2009;3
Atividades de cobrança e informações cadastrais;2009;113
Atividades de condicionamento físico;2009;93
Atividades de consultoria e auditoria contábil e tributária;2009;4
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2009;238
Atividades de contabilidade;2009;226
Atividades de design não especificadas anteriormente;2009;2
Atividades de despachantes aduaneiros;2009;9
Atividades de enfermagem;2009;3
Atividades de Estética e outros serviços de cuidados com a beleza;2009;62
Atividades de estudos geológicos;2009;1
Atividades de exibição cinematográfica;2009;5
Atividades de fisioterapia;2009;42
Atividades de fonoaudiologia;2009;11
Atividades de gravação de som e de edição de música;2009;9
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;2009;46
Atividades de limpeza não especificadas anteriormente;2009;11
Atividades de monitoramento de sistemas de segurança eletrônico;2009;29
Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;2009;1
Atividades de práticas integrativas e complementares em saúde humana;2009;3
Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;2009;22
Atividades de produção de fotografias aéreas e submarinas;2009;5
Atividades de produção de fotografias, exceto aérea e submarina;2009;24
Atividades de profissionais da área de saúde não especificadas anteriormente;2009;37
Atividades de profissionais da nutrição;2009;5
Atividades de psicologia e psicanálise;2009;12
Atividades de rádio;2009;5
Atividades de sauna e banhos;2009;1
Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;2009;21
Atividades de sonorização e de iluminação;2009;7
Atividades de teleatendimento;2009;22
Atividades de televisão aberta;2009;1
Atividades de terapia ocupacional;2009;2
Atividades de vigilância e segurança privada;2009;27
Atividades de franqueadas e permissionárias do Correio Nacional;2009;10
Atividades funerárias e serviços relacionados não especificados anteriormente;2009;5
Atividades paisagísticas;2009;39
Atividades relacionadas a esgoto, exceto a gestão de redes;2009;1
Atividades relacionadas à televisão por assinatura, exceto programadoras;2009;1
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;2009;7
Atividades veterinárias;2009;25
Bancos múltiplos, sem carteira comercial;2009;1
Bares e outros estabelecimentos especializados em servir bebidas;2009;330
