CodMunicipio;Municipio;0 a 5 anos;6 a 14 anos;15 a 24 anos;25 a 39 anos;40 a 59 anos;60 anos ou mais
3500204;Adolfo;6,92;12,2;15,63;21,09;28,28;15,88
3500600;Águas de São Pedro;4,95;11,01;12,97;19,95;26,27;24,86
3500758;Alambari;8,6;16,65;17,3;23,55;22,22;11,69
3500808;Alfredo Marcondes;5,91;11,41;15,42;20,46;26,5;20,3
3500907;Altair;9,02;14,36;17,93;26,19;21,55;10,96
3501103;Alto Alegre;6,27;11,17;15,55;20,94;26,38;19,7
3501202;Álvares Florence;4,95;10,98;13,47;19,19;30,56;20,84
3501400;Álvaro de Carvalho;6,67;11,14;17,46;36,06;18,84;9,83
3501509;Alvinlândia;9,07;15,23;16,67;23,1;22,7;13,23
3502002;Analândia;8,62;13,51;16,79;23,18;23,62;14,28
3502408;Anhumas;7,7;14,45;16,99;21,88;25,12;13,86
3502606;Aparecida d'Oeste;5,78;12,7;14,54;19,51;28,56;18,92
3503158;Arapeí;8,26;14,84;16,73;20,14;25,87;14,16
3503356;Arco-Íris;6,44;12,05;16,1;21,25;26,55;17,61
3503505;Areias;9,2;16,42;17,1;21,97;23,16;12,15
3503950;Aspásia;6,3;11,72;16,2;19,4;29,13;17,25
3504305;Avaí;8,01;15,51;18,47;21,7;24,04;12,28
3504701;Balbinos;2,81;4,59;19,48;49,7;17,07;6,35
3505005;Barão de Antonina;8,7;15,66;15,6;19,74;25,35;14,96
3506201;Bento de Abreu;7,93;14,1;16,16;25,5;23,78;12,53
3507159;Bom Sucesso de Itararé;10,45;19,85;19,07;23,05;19,49;8,09
3507209;Borá;7,58;12,05;17,89;26,71;25,09;10,68
3507308;Boracéia;8,51;14,34;18,06;23,17;22,73;13,19
3507456;Borebi;9,07;15,87;18,32;21,76;24,16;10,82
3507753;Brejo Alegre;7,07;14,89;15,97;25,69;23,36;13,02
3508207;Buritizal;7,6;12,07;16,11;24,28;24,7;15,25
3508306;Cabrália Paulista;8,32;15,37;17,55;23,37;23,18;12,21
3508900;Caiabu;7,05;13,09;17,58;20,58;26,28;15,42
3509809;Campos Novos Paulista;8,59;15,71;15,31;22,12;23,86;14,41
3509957;Canas;10,42;16,56;18,13;22,87;23,01;9,01
3510104;Cândido Rodrigues;5,73;10,76;16,38;20,31;27,21;19,6
3510153;Canitar;10,44;18,77;16,66;24,99;19,89;9,25
3510906;Cássia dos Coqueiros;6,91;14,24;16,14;20,99;26,54;15,19
3512704;Corumbataí;7,36;15,57;16,88;23,49;23,46;13,24
3513306;Cruzália;6,24;12,45;16,09;20,32;30,39;14,51
3513850;Dirce Reis;7,1;10,24;16,04;20,84;26,47;19,3
3514205;Dolcinópolis;5,87;12,31;15,03;20,9;27,67;18,23
3514924;Elisiário;7,56;11,15;16,89;26,57;23,49;14,33
3514957;Embaúba;7,35;11,6;16,01;23,73;26,5;14,82
3515129;Emilianópolis;6,79;12,09;16,42;21,92;26,03;16,75
3515194;Espírito Santo do Turvo;9,71;15,72;18,83;23,3;23;9,45
3515301;Estrela do Norte;8,99;13,62;18,81;21,18;25,17;12,23
3515657;Fernão;7,74;13,69;15,42;23,48;23,1;16,57
3515806;Flora Rica;5,48;12,9;15,64;17,81;27,51;20,66
3515905;Floreal;4,26;10,39;14,75;19,81;29,64;21,15
3516101;Florínia;7,14;13,72;15,66;21,39;26,41;15,69
3516507;Gabriel Monteiro;6,28;10,64;14,44;22,16;28,99;17,5
3516804;Gastão Vidigal;8,23;11,19;19,53;25,88;21,87;13,31
3516853;Gavião Peixoto;8,51;14,35;19,19;24,89;22,47;10,59
3517109;Glicério;8,37;13,87;15,68;23,26;24,95;13,87
3518008;Guarani d'Oeste;7,41;12,59;15,38;20,61;26,8;17,21
3518909;Guzolândia;8,44;14,07;16,79;23,29;24,65;12,77
3520608;Indiana;6,76;12,46;17,31;23,32;25,26;14,9
3520707;Indiaporã;6,15;10,74;15,07;21,34;27,77;18,93
3520806;Inúbia Paulista;7,58;13;16,31;23,03;25,29;14,79
3521150;Ipiguá;7,53;12,59;16,02;22,88;25,92;15,06
3521200;Iporanga;9,82;18,19;17,77;21,96;20,33;11,93
3522000;Itaju;8,44;14,05;17,41;22,86;23,44;13,8
3522158;Itaóca;7,65;18,65;14,59;20,07;23,42;15,61
3522653;Itapirapuã Paulista;10,18;20,31;17,6;22,04;18,48;11,39
3523008;Itapura;8,26;14,37;17,21;23,09;24,37;12,69
3525409;Jeriquara;9,3;15,95;18,01;24,49;21,17;11,08
3525607;João Ramalho;8,94;14,51;18,77;23,45;23,45;10,89
3525805;Júlio Mesquita;7,16;16,66;17,38;22,23;22,75;13,81
3525854;Jumirim;7,68;13,8;19,44;25,16;22,09;11,83
3526308;Lagoinha;6,38;14,32;15,82;20,49;25,16;17,83
3527256;Lourdes;6,39;11,56;15,37;23,36;26,64;16,68
3527504;Lucianópolis;7,56;15,43;14,54;24,14;22,41;15,92
3527801;Lupércio;8,61;15,25;16,54;22,65;23,39;13,55
3527900;Lutécia;7,52;13,67;16,99;22;24,8;15,03
3528205;Macedônia;6,03;12,2;14,57;21,75;28,47;16,98
3528304;Magda;6,34;10,81;14,84;21,88;27,91;18,22
3528700;Marabá Paulista;6,11;10;22,03;30,24;21,26;10,37
3528858;Marapoama;6,04;12,76;15,8;24,42;26,09;14,89
3528908;Mariápolis;7,43;12,39;17,7;21,81;25,41;15,27
3529104;Marinópolis;6,06;13,96;15,71;22,57;27,69;14,01
3529500;Mendonça;6,29;12,48;16,57;22,28;26,59;15,78
3529609;Meridiano;6,51;12,19;15,23;23,04;27,13;15,9
3529658;Mesópolis;7,69;13,31;15,43;21,26;26,56;15,75
3530003;Mira Estrela;6,24;12,87;14,72;20,96;28,16;17,06
3530409;Mirassolândia;7,96;12,9;15,39;22,91;24,82;16,02
3530904;Mombuca;8,82;15,19;17,76;23,7;23,18;11,36
3531001;Monções;6,57;10,37;14,02;22,19;28,38;18,48
3531605;Monte Castelo;6,05;12,38;15,04;20,9;27,59;18,04
3531704;Monteiro Lobato;7,96;15,24;15,22;21,84;24,88;14,85
3532058;Motuca;8,44;13,29;17,88;24,03;25,45;10,91
3532108;Murutinga do Sul;5,83;12,47;13,45;20,16;28,93;19,16
3532157;Nantes;8,76;16,92;17,73;24,01;22,31;10,27
3532207;Narandiba;8,61;15,18;18,47;23,2;23,6;10,94
3532702;Nipoã;8,45;12,14;18,58;26,11;22,86;11,86
3532843;Nova Canaã Paulista;5,39;11,12;12,39;19,82;30,18;21,1
3532868;Nova Castilho;7,64;13,78;15,29;22,4;25,96;14,93
3533106;Nova Guataporanga;6,71;12,77;14,24;20,58;27,24;18,47
3533205;Nova Independência;9,39;14,57;17,44;25,1;22,65;10,85
3533304;Nova Luzitânia;8,63;12,85;16,19;27;22,7;12,64
3533254;Novais;10,39;13,68;21,36;26,22;17,66;10,69
3533700;Ocauçu;8,34;13,69;16,96;21,07;25,37;14,58
3533809;Óleo;7,03;14,1;14,63;19,12;27,27;17,85
3534005;Onda Verde;7,98;14,55;17,38;23,64;23,94;12,51
3534500;Oscar Bressane;6,46;11;15,21;20,1;26,84;20,38
