CodMunicipio;Municipio;MediaSalarial;MedSal_PrimeiroQuartil;MedSal_SegundoQuartil;MedSal_TerceiroQuartil
3500204;Adolfo;603;315;500;700
3500600;Águas de São Pedro;1374;500;816;1437
3500758;Alambari;517;249;380;596
3500808;Alfredo Marcondes;579;267;500;680
3500907;Altair;522;265;400;614
3501103;Alto Alegre;537;278;451;620
3501202;Álvares Florence;553;260;462;617
3501400;Álvaro de Carvalho;477;220;368;538
3501509;Alvinlândia;504;238;361;565
3502002;Analândia;691;267;463;720
3502408;Anhumas;492;240;380;600
3502606;Aparecida d'Oeste;528;250;400;593
3503158;Arapeí;420;200;331;510
3503356;Arco-Íris;479;222;379;543
3503505;Areias;375;160;255;437
3503950;Aspásia;522;250;383;543
3504305;Avaí;497;196;350;575
3504701;Balbinos;581;255;480;697
3505005;Barão de Antonina;506;170;323;510
3506201;Bento de Abreu;605;322;498;749
3507159;Bom Sucesso de Itararé;334;140;233;396
3507209;Borá;581;275;400;683
3507308;Boracéia;598;309;500;724
3507456;Borebi;517;262;404;580
3507753;Brejo Alegre;521;282;425;588
3508207;Buritizal;698;300;503;783
3508306;Cabrália Paulista;470;226;350;550
3508900;Caiabu;510;270;433;600
3509809;Campos Novos Paulista;486;203;343;530
3509957;Canas;409;173;285;500
3510104;Cândido Rodrigues;650;373;510;705
3510153;Canitar;432;225;340;510
3510906;Cássia dos Coqueiros;518;233;370;573
3512704;Corumbataí;660;275;453;733
3513306;Cruzália;629;265;447;667
3513850;Dirce Reis;495;288;430;570
3514205;Dolcinópolis;565;303;477;656
3514924;Elisiário;620;375;510;733
3514957;Embaúba;686;367;553;815
3515129;Emilianópolis;566;267;433;633
3515194;Espírito Santo do Turvo;486;255;388;575
3515301;Estrela do Norte;640;255;423;660
3515657;Fernão;477;219;340;510
3515806;Flora Rica;506;239;387;578
3515905;Floreal;683;328;510;843
3516101;Florínia;496;217;375;553
3516507;Gabriel Monteiro;651;355;510;721
3516804;Gastão Vidigal;650;303;510;811
3516853;Gavião Peixoto;585;300;467;675
3517109;Glicério;611;290;465;683
3518008;Guarani d'Oeste;504;250;400;563
3518909;Guzolândia;471;253;364;510
3520608;Indiana;602;292;475;698
3520707;Indiaporã;622;267;455;655
3520806;Inúbia Paulista;558;293;443;635
3521150;Ipiguá;614;300;465;686
3521200;Iporanga;352;119;225;425
3522000;Itaju;529;267;450;640
3522158;Itaóca;335;117;216;403
3522653;Itapirapuã Paulista;293;102;171;333
3523008;Itapura;484;228;370;585
3525409;Jeriquara;500;225;383;583
3525607;João Ramalho;537;255;402;625
3525805;Júlio Mesquita;447;204;340;517
3525854;Jumirim;652;330;510;762
3526308;Lagoinha;490;202;337;510
3527256;Lourdes;570;300;500;700
3527504;Lucianópolis;662;281;428;631
3527801;Lupércio;493;243;370;538
3527900;Lutécia;550;211;362;580
3528205;Macedônia;580;275;455;655
3528304;Magda;668;290;510;755
3528700;Marabá Paulista;436;200;340;531
3528858;Marapoama;703;380;533;800
3528908;Mariápolis;511;260;413;629
3529104;Marinópolis;505;250;385;577
3529500;Mendonça;650;345;510;775
3529609;Meridiano;648;323;500;700
3529658;Mesópolis;502;259;421;610
3530003;Mira Estrela;591;255;408;609
3530409;Mirassolândia;554;267;464;675
3530904;Mombuca;613;238;406;700
3531001;Monções;683;333;510;778
3531605;Monte Castelo;569;270;455;675
3531704;Monteiro Lobato;558;200;366;605
3532058;Motuca;533;255;430;663
3532108;Murutinga do Sul;574;255;450;650
3532157;Nantes;464;250;382;540
3532207;Narandiba;465;232;350;533
3532702;Nipoã;603;309;510;750
3532843;Nova Canaã Paulista;518;250;433;637
3532868;Nova Castilho;602;273;477;732
3533106;Nova Guataporanga;628;259;458;655
3533205;Nova Independência;565;267;437;625
3533304;Nova Luzitânia;607;310;500;707
3533254;Novais;576;277;437;633
3533700;Ocauçu;504;250;390;583
3533809;Óleo;543;250;410;643
3534005;Onda Verde;550;296;460;660
3534500;Oscar Bressane;580;255;437;663
3535903;Paranapuã;559;267;422;620
3536257;Parisi;628;332;503;700
3536570;Paulistânia;509;249;367;510
3536901;Pedranópolis;562;282;450;640
3537156;Pedrinhas Paulista;712;270;459;750
3538303;Piquerobi;488;210;370;578
3539608;Planalto;546;261;435;664
3539707;Platina;490;229;350;567
3540101;Pongaí;624;278;469;700
3540259;Pontalinda;495;255;400;558
3540309;Pontes Gestal;621;315;500;680
3540408;Populina;553;265;449;622
3540853;Pracinha;442;225;340;544
3541059;Pratânia;524;267;403;600
3541109;Presidente Alves;588;240;400;675
3541653;Quadra;622;240;400;635
3541802;Queiroz;469;235;375;538
3542305;Redenção da Serra;419;170;299;510
3542800;Ribeira;372;130;255;480
3543105;Ribeirão Corrente;522;242;405;604
3543204;Ribeirão do Sul;610;255;406;628
3543238;Ribeirão dos Índios;459;250;370;510
3543600;Rifaina;609;255;455;703
3544400;Rubiácea;570;302;460;650
3544509;Rubinéia;589;267;471;707
3544707;Sagres;502;250;370;530
3545100;Salmourão;520;253;383;538
3545506;Sandovalina;479;208;340;566
3546108;Santa Clara d'Oeste;601;302;480;650
3546207;Santa Cruz da Conceição;902;333;550;878
3546256;Santa Cruz da Esperança;647;250;373;632
3547106;Santa Mercedes;515;243;400;593
3547403;Santa Rita d'Oeste;609;315;500;660
3547650;Santa Salete;646;347;510;800
3547205;Santana da Ponte Pensa;754;360;518;828
3548302;Santo Expedito;504;250;390;550
3548401;Santópolis do Aguapeí;497;255;410;607
3549003;São Francisco;505;250;396;597
3549201;São João das Duas Pontes;486;255;418;575
3549250;São João de Iracema;536;284;442;663
3549300;São João do Pau d'Alho;622;347;510;764
3549607;São José do Barreiro;463;153;267;510
3551207;Sarutaiá;451;218;343;510
3551306;Sebastianópolis do Sul;713;390;541;767
3552551;Suzanápolis;466;225;382;563
3553658;Taquaral;621;290;451;633
3554201;Tejupá;409;180;295;505
3554607;Timburi;492;226;375;510
3554656;Torre de Pedra;515;240;400;625
3554755;Trabiju;486;233;403;600
3555208;Turiúba;677;320;510;830
3555307;Turmalina;647;340;510;750
3555505;Ubirajara;527;255;393;583
3555703;União Paulista;579;310;500;705
3555901;Uru;513;240;413;627
3556958;Vitória Brasil;518;302;425;607
3557154;Zacarias;566;284;455;638
3500402;Águas da Prata;741;294;500;755
3500550;Águas de Santa Bárbara;719;287;500;800
3501806;Américo de Campos;607;277;485;700
3502309;Anhembi;500;227;368;590
3503000;Aramina;627;300;500;713
3503109;Arandu;494;255;383;572
3503406;Arealva;635;267;475;726
3503703;Ariranha;676;360;525;771
3504800;Bálsamo;745;357;530;835
3505104;Barbosa;505;250;393;585
3505351;Barra do Chapéu;324;124;200;356
3505401;Barra do Turvo;379;130;253;475
3506409;Bilac;721;348;510;800
3506904;Bofete;517;226;375;600
3507704;Braúna;631;325;500;690
3509106;Caiuá;435;187;332;510
3509304;Cajobi;611;300;492;700
3509452;Campina do Monte Alegre;455;183;333;510
3511201;Catiguá;683;350;510;800
3511300;Cedral;753;350;550;840
3511904;Clementina;587;311;494;700
3512100;Colômbia;548;255;410;625
3512506;Coroados;574;283;442;653
3512605;Coronel Macedo;415;171;300;510
3512902;Cosmorama;592;295;500;670
3513207;Cristais Paulista;613;260;440;670
3514007;Dobrada;554;274;433;650
3514304;Dourado;635;325;500;750
3514601;Dumont;643;300;500;770
3514700;Echaporã;588;250;383;607
3515202;Estrela d'Oeste;722;329;503;705
3515350;Euclides da Cunha Paulista;413;182;300;510
3515608;Fernando Prestes;748;383;553;825
3516606;Gália;534;250;383;602
3517307;Guaimbê;477;227;375;552
3517802;Guaraçaí;570;255;450;663
3517901;Guaraci;564;255;425;667
3518107;Guarantã;518;230;363;555
3518859;Guatapará;569;251;400;650
3519006;Herculândia;486;200;340;540
3519204;Iacri;556;255;403;603
3519253;Iaras;477;170;333;600
3519501;Ibirarema;544;255;408;625
3519808;Icém;622;267;450;702
3519907;Iepê;562;250;409;640
3520202;Igaratá;604;237;373;600
3520426;Ilha Comprida;538;200;365;650
3521101;Ipeúna;726;300;500;800
3521507;Irapuã;550;298;455;655
