CodMunicipio;Municipio;MediaSal_Homem;MediaSal_Mulher;MedianaSal_Homem;MedianaSal_Mulher
3500204;Adolfo;1165;717;850;564
3500600;Águas de São Pedro;2442;1667;1500;1000
3500758;Alambari;1061;689;756;510
3500808;Alfredo Marcondes;1040;744;750;510
3500907;Altair;1044;665;800;510
3501103;Alto Alegre;906;700;700;510
3501202;Álvares Florence;999;634;700;510
3501400;Álvaro de Carvalho;906;676;600;510
3501509;Alvinlândia;947;692;600;510
3502002;Analândia;1319;932;800;570
3502408;Anhumas;939;734;780;510
3502606;Aparecida d'Oeste;983;697;700;510
3503158;Arapeí;828;557;600;510
3503356;Arco-Íris;822;616;600;510
3503505;Areias;810;618;510;510
3503950;Aspásia;1032;597;700;510
3504305;Avaí;1077;721;700;510
3504701;Balbinos;1087;743;780;510
3505005;Barão de Antonina;982;620;510;510
3506201;Bento de Abreu;1199;728;1000;532
3507159;Bom Sucesso de Itararé;771;528;510;510
3507209;Borá;1167;684;800;518
3507308;Boracéia;1131;768;825;600
3507456;Borebi;987;722;700;560
3507753;Brejo Alegre;920;685;700;510
3508207;Buritizal;1363;833;963;510
3508306;Cabrália Paulista;929;689;700;510
3508900;Caiabu;994;643;800;510
3509809;Campos Novos Paulista;936;726;700;510
3509957;Canas;943;600;700;510
3510104;Cândido Rodrigues;1089;755;800;540
3510153;Canitar;913;606;750;510
3510906;Cássia dos Coqueiros;967;714;600;510
3512704;Corumbataí;1244;880;820;570
3513306;Cruzália;1173;786;800;510
3513850;Dirce Reis;836;599;700;510
3514205;Dolcinópolis;980;658;710;510
3514924;Elisiário;1146;672;1000;510
3514957;Embaúba;1235;643;900;510
3515129;Emilianópolis;980;738;700;510
3515194;Espírito Santo do Turvo;996;665;800;510
3515301;Estrela do Norte;1408;770;900;510
3515657;Fernão;913;656;590;510
3515806;Flora Rica;988;639;700;510
3515905;Floreal;1185;775;800;510
3516101;Florínia;980;649;700;510
3516507;Gabriel Monteiro;1052;746;712;523
3516804;Gastão Vidigal;1104;764;900;510
3516853;Gavião Peixoto;1162;737;865;600
3517109;Glicério;1128;749;800;510
3518008;Guarani d'Oeste;960;613;700;510
3518909;Guzolândia;896;631;600;510
3520608;Indiana;1071;775;800;510
3520707;Indiaporã;1152;732;800;510
3520806;Inúbia Paulista;1011;716;800;510
3521150;Ipiguá;1230;738;900;560
3521200;Iporanga;795;568;510;510
3522000;Itaju;975;708;760;550
3522158;Itaóca;681;511;510;500
3522653;Itapirapuã Paulista;692;441;510;256
3523008;Itapura;962;702;776;510
3525409;Jeriquara;955;705;700;510
3525607;João Ramalho;1087;692;813;510
3525805;Júlio Mesquita;843;667;600;510
3525854;Jumirim;1169;832;900;600
3526308;Lagoinha;910;674;600;510
3527256;Lourdes;1018;687;800;510
3527504;Lucianópolis;1236;742;710;510
3527801;Lupércio;916;692;600;510
3527900;Lutécia;1035;841;700;510
3528205;Macedônia;1053;703;745;510
3528304;Magda;1199;739;800;510
3528700;Marabá Paulista;838;573;630;510
3528858;Marapoama;1281;741;1000;510
3528908;Mariápolis;952;660;790;510
3529104;Marinópolis;881;644;610;510
3529500;Mendonça;1153;766;900;600
3529609;Meridiano;1052;874;800;510
3529658;Mesópolis;905;632;700;510
3530003;Mira Estrela;1004;811;700;510
3530409;Mirassolândia;1042;684;800;510
3530904;Mombuca;1325;767;850;550
3531001;Monções;1192;767;800;510
3531605;Monte Castelo;1005;693;700;510
3531704;Monteiro Lobato;1087;766;650;510
3532058;Motuca;1182;694;914;510
3532108;Murutinga do Sul;1041;665;700;510
3532157;Nantes;921;644;750;510
3532207;Narandiba;976;634;793;510
3532702;Nipoã;1145;685;1000;510
3532843;Nova Canaã Paulista;898;604;673;510
3532868;Nova Castilho;1201;657;800;510
3533106;Nova Guataporanga;1184;693;700;510
3533205;Nova Independência;1162;679;829;510
3533304;Nova Luzitânia;1092;690;850;510
3533254;Novais;1155;644;900;510
3533700;Ocauçu;894;724;600;510
3533809;Óleo;982;754;700;510
3534005;Onda Verde;1107;734;900;600
3534500;Oscar Bressane;1036;784;625;510
3535903;Paranapuã;1048;663;700;510
3536257;Parisi;1131;632;800;510
3536570;Paulistânia;940;672;610;510
3536901;Pedranópolis;1031;646;800;510
3537156;Pedrinhas Paulista;1488;829;801;510
3538303;Piquerobi;961;642;670;510
3539608;Planalto;1147;711;900;510
3539707;Platina;981;675;751;510
3540101;Pongaí;1076;803;700;510
3540259;Pontalinda;873;659;700;510
3540309;Pontes Gestal;1125;741;800;510
3540408;Populina;974;695;750;510
3540853;Pracinha;828;590;660;510
3541059;Pratânia;1009;701;800;540
3541109;Presidente Alves;1168;758;800;510
3541653;Quadra;1268;718;700;510
3541802;Queiroz;991;645;800;510
3542305;Redenção da Serra;918;605;600;510
3542800;Ribeira;740;638;510;510
3543105;Ribeirão Corrente;995;631;700;510
3543204;Ribeirão do Sul;1197;689;700;510
3543238;Ribeirão dos Índios;791;611;600;510
3543600;Rifaina;1114;778;720;510
3544400;Rubiácea;1136;705;860;510
3544509;Rubinéia;1086;746;800;510
3544707;Sagres;1004;582;655;510
3545100;Salmourão;1036;670;800;510
3545506;Sandovalina;1024;700;800;510
3546108;Santa Clara d'Oeste;1035;689;700;510
3546207;Santa Cruz da Conceição;1786;906;1000;600
3546256;Santa Cruz da Esperança;1389;808;800;510
3547106;Santa Mercedes;1054;672;800;510
3547403;Santa Rita d'Oeste;1048;699;700;510
3547650;Santa Salete;1118;632;800;510
3547205;Santana da Ponte Pensa;1248;771;800;510
3548302;Santo Expedito;980;675;700;510
3548401;Santópolis do Aguapeí;943;627;800;510
3549003;São Francisco;943;624;630;510
3549201;São João das Duas Pontes;868;649;700;510
3549250;São João de Iracema;994;611;800;510
3549300;São João do Pau d'Alho;1053;727;800;510
3549607;São José do Barreiro;923;729;510;510
3551207;Sarutaiá;830;601;510;510
3551306;Sebastianópolis do Sul;1227;745;900;510
3552551;Suzanápolis;960;609;780;510
3553658;Taquaral;1198;735;750;510
3554201;Tejupá;774;611;510;510
3554607;Timburi;824;693;510;510
3554656;Torre de Pedra;975;705;700;510
3554755;Trabiju;923;638;700;515
3555208;Turiúba;1146;841;900;528
3555307;Turmalina;1076;732;800;510
3555505;Ubirajara;944;690;650;510
3555703;União Paulista;1089;688;900;510
3555901;Uru;919;789;723;544
3556958;Vitória Brasil;895;606;700;510
3557154;Zacarias;1037;731;800;510
;De 5.001 a 10.000 ;1110;750;800;510
3500402;Águas da Prata;1292;1003;800;600
3500550;Águas de Santa Bárbara;1358;984;900;617
3501806;Américo de Campos;1044;777;800;510
3502309;Anhembi;1010;752;780;510
3503000;Aramina;1271;742;1000;510
3503109;Arandu;896;686;631;510
3503406;Arealva;1153;842;800;530
3503703;Ariranha;1287;808;1000;510
3504800;Bálsamo;1356;832;950;560
3505104;Barbosa;981;716;800;510
3505351;Barra do Chapéu;732;502;510;510
3505401;Barra do Turvo;839;647;510;510
3506409;Bilac;1157;885;800;570
3506904;Bofete;1022;731;700;510
3507704;Braúna;1119;802;800;510
3509106;Caiuá;850;620;600;510
3509304;Cajobi;1123;720;800;510
3509452;Campina do Monte Alegre;920;659;600;510
3511201;Catiguá;1332;783;1000;516
3511300;Cedral;1359;917;948;660
3511904;Clementina;1100;724;900;520
3512100;Colômbia;1128;713;850;510
3512506;Coroados;1056;702;770;520
3512605;Coronel Macedo;809;626;545;510
