GrupoEtario;Genero;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
0-4;Masculino;1554575;1546271;1540372;1528919;1516434;1503166;1489400;1475542;1461969;1448846;1436274;1424291;1412875;1402069;1391891;1382277
5-9;Masculino;1555741;1564228;1563935;1566180;1564317;1553278;1545023;1539179;1527782;1515347;1502128;1488408;1474590;1461049;1447947;1435406
10-14;Masculino;1511593;1509358;1516907;1525031;1534439;1551133;1559711;1559502;1561842;1560072;1549120;1540955;1535177;1523830;1511432;1498245
15-19;Masculino;1595401;1566874;1547597;1535178;1524827;1513989;1511740;1519241;1527312;1536667;1553290;1561822;1561628;1563995;1562274;1551399
20-24;Masculino;1746584;1740281;1715018;1681581;1651014;1627848;1598876;1579091;1566121;1555209;1543809;1541064;1548226;1556112;1565390;1581999
25-29;Masculino;1772220;1765040;1771366;1784322;1792511;1788850;1781848;1755957;1721917;1690723;1666878;1637314;1617043;1603726;1592641;1581274
30-34;Masculino;1921154;1900507;1869540;1834553;1804988;1786501;1779194;1785287;1797955;1805867;1801967;1794753;1768784;1734771;1703675;1680003
35-39;Masculino;1907817;1922035;1929336;1929699;1923287;1910779;1890591;1860120;1825626;1796496;1778337;1771254;1777478;1790222;1798230;1794514
40-44;Masculino;1726673;1764170;1800956;1834995;1863666;1885285;1899907;1907663;1908531;1902651;1890686;1871060;1841192;1807303;1778701;1760967
45-49;Masculino;1513550;1543269;1578820;1618266;1658478;1697161;1734764;1771646;1805803;1834639;1856487;1871415;1879550;1880847;1875439;1863962
50-54;Masculino;1387535;1403981;1418060;1432264;1450396;1474685;1504587;1540149;1579479;1619534;1658069;1695516;1732229;1766247;1795021;1816902
55-59;Masculino;1225083;1247938;1271151;1293977;1315125;1334007;1350917;1365507;1380181;1398625;1423005;1452773;1487961;1526753;1566208;1604148
60-64;Masculino;1038561;1065393;1089828;1112608;1134962;1157638;1180446;1203552;1226244;1247306;1266161;1283097;1297789;1312532;1330844;1354795
65-69;Masculino;801226;833435;865989;898077;928522;956652;982636;1006394;1028607;1050397;1072453;1094590;1116971;1138926;1159306;1177575
70-74;Masculino;564841;593334;621784;650315;679265;708736;738528;768632;798311;826502;852590;876751;898926;919715;940103;960695
75-79;Masculino;355243;373721;395230;418895;443419;468002;492739;517484;542334;567552;593206;619136;645341;671175;695726;718467
80-84;Masculino;220733;228618;236054;244042;253971;266543;281423;298582;317357;336782;356264;375885;395556;415336;435416;455832
85-89;Masculino;111936;117380;123656;130301;136710;142643;148326;153777;159648;166846;175798;186276;198245;211267;224708;238184
90+;Masculino;61861;65709;69621;73653;77886;82319;87070;92296;97750;103130;108315;113521;118868;124591;131030;138323
0-4;Feminino;1483786;1475765;1470050;1459047;1447063;1434330;1421125;1407840;1394833;1382250;1370197;1358714;1347788;1337450;1327705;1318506
5-9;Feminino;1486357;1494314;1493902;1495909;1494007;1483363;1475373;1469679;1458701;1446747;1434045;1420859;1407579;1394585;1382025;1369999
