CodMunicipio;Municipio;Casal sem filho(s);Casal com filho(s) ;Homem com filho(s);Mulher com filho(s) 
3500204;Adolfo;29,94;57,04;2,01;11,01
3500600;Águas de São Pedro;35,42;46,47;2,4;15,71
3500758;Alambari;24,14;63,79;1,91;10,16
3500808;Alfredo Marcondes;30,48;55,13;2,52;11,87
3500907;Altair;21,04;67,27;2,34;9,35
3501103;Alto Alegre;29,15;58,6;1,82;10,43
3501202;Álvares Florence;35,35;53,03;1,92;9,7
3501400;Álvaro de Carvalho;22,77;56,85;2,68;17,71
3501509;Alvinlândia;20,49;61,95;3,25;14,31
3502002;Analândia;27,11;60,69;3,02;9,18
3502408;Anhumas;20,84;64,73;1,73;12,7
3502606;Aparecida d'Oeste;32,94;55,44;1,28;10,34
3503158;Arapeí;22,22;55,36;4,17;18,25
3503356;Arco-Íris;28,27;60,34;1,9;9,49
3503505;Areias;18,43;63,28;2,57;15,72
3503950;Aspásia;28,54;62,17;1,99;7,3
3504305;Avaí;23,19;60,47;1,88;14,46
3504701;Balbinos;28,83;56,13;1,23;13,8
3505005;Barão de Antonina;27,72;57,76;2,32;12,19
3506201;Bento de Abreu;20,03;65,89;2,32;11,75
3507159;Bom Sucesso de Itararé;16,98;73,18;1,57;8,27
3507209;Borá;23,75;64,38;3,75;8,13
3507308;Boracéia;18,83;68,22;2,33;10,63
3507456;Borebi;22,55;61,49;1,91;14,04
3507753;Brejo Alegre;23,99;60,44;2,01;13,55
3508207;Buritizal;25,79;59,3;2,07;12,84
3508306;Cabrália Paulista;23,33;59,94;2,84;13,89
3508900;Caiabu;25,68;61,2;2,03;11,1
3509809;Campos Novos Paulista;25,99;59,81;3,09;11,11
3509957;Canas;17,17;69,28;2,1;11,45
3510104;Cândido Rodrigues;25,08;60,52;2,59;11,81
3510153;Canitar;18,21;68,04;1,88;11,87
3510906;Cássia dos Coqueiros;26,11;61,08;2,63;10,18
3512704;Corumbataí;26,08;64,8;1,17;7,95
3513306;Cruzália;24,2;59,72;1,94;14,13
3513850;Dirce Reis;28,87;59,86;2,58;8,69
3514205;Dolcinópolis;29,62;56,73;2,5;11,15
3514924;Elisiário;27,82;60,63;2,71;8,84
3514957;Embaúba;29,86;59,54;1,94;8,66
3515129;Emilianópolis;28,32;58,11;1,6;11,97
3515194;Espírito Santo do Turvo;23,79;65,34;1,72;9,15
3515301;Estrela do Norte;19,97;69,19;1,38;9,47
3515657;Fernão;28,13;62,22;1,7;7,95
3515806;Flora Rica;32,23;50;3,79;13,98
3515905;Floreal;33,89;52,91;1,94;11,25
3516101;Florínia;26,62;55,36;1,3;16,72
3516507;Gabriel Monteiro;28,72;58,3;2,31;10,68
3516804;Gastão Vidigal;29,7;57,43;1,73;11,14
3516853;Gavião Peixoto;19,11;69,32;1,91;9,66
